algorithm,trial,reward,iterations,time
BnB,1,6,10,0.0002930164337158203
BnB,2,6,10,0.00025200843811035156
BnB,3,6,10,0.00024175643920898438
BnB,4,6,10,0.00032401084899902344
BnB,5,6,10,0.00016355514526367188
IDA*,1,6,9,0.00011038780212402344
IDA*,2,6,9,0.00011229515075683594
IDA*,3,6,9,0.00012612342834472656
IDA*,4,6,9,0.00010013580322265625
IDA*,5,6,9,8.749961853027344e-05
Hill Climbing,1,515.7388657173867,13,0.010151147842407227
Hill Climbing,2,361.8497102159709,16,0.013275146484375
Hill Climbing,3,515.4421619251631,15,0.012013912200927734
Hill Climbing,4,460.6218074740194,14,0.008927345275878906
Hill Climbing,5,506.6718260663446,13,0.008150100708007812
Simulated Annealing,1,392.15260447386595,2757,0.02042698860168457
Simulated Annealing,2,376.22949343870965,2757,0.019692420959472656
Simulated Annealing,3,510.8119942812016,2757,0.020859241485595703
Simulated Annealing,4,463.495510150415,2757,0.020507097244262695
Simulated Annealing,5,367.48926685830384,2757,0.020018577575683594
